total_trades,win_rate,total_return_pct,profit_factor,volume_ratio_threshold,trend_strength_threshold,signal_threshold,stop_loss_atr,take_profit_atr,score
1047,42.40687679083094,-38.431846197178466,1.2658719736562827,1.08,0.0012,0.45,2.0,2.5,-6.758407801762994
1026,43.567251461988306,-39.94119264592552,1.2011126772145007,1.08,0.0012,0.45,2.5,3.0,-7.897566914931366
985,41.92893401015228,-40.383187572549495,1.2794536771783795,1.08,0.0015,0.45,2.0,2.5,-9.568720567473354
1036,41.795366795366796,-43.30342777308565,1.2788939593449076,1.08,0.0012,0.45,2.0,3.0,-12.045744375402254
964,43.04979253112033,-43.39986491862934,1.2098775523111556,1.08,0.0015,0.45,2.5,3.0,-12.234968653069174
973,41.31551901336074,-47.003838399659045,1.2837407503521272,1.08,0.0015,0.45,2.0,3.0,-16.616078892978674
1032,42.248062015503876,-48.7250741671312,1.240765036665705,1.12,0.0012,0.45,2.0,2.5,-17.28104315937926
1011,43.42235410484669,-50.107029950345314,1.1770315287836297,1.12,0.0012,0.45,2.5,3.0,-18.28585289792197
706,41.92634560906516,-46.38590327890669,1.2345219320400556,1.08,0.0012,0.5,2.0,2.5,-18.36273047437411
706,41.92634560906516,-46.38590327890669,1.2345219320400556,1.12,0.0012,0.5,2.0,2.5,-18.36273047437411
706,41.92634560906516,-46.38590327890669,1.2345219320400556,1.1,0.0012,0.5,2.0,2.5,-18.36273047437411
1037,42.23722275795564,-49.95555857158593,1.2341952213887537,1.1,0.0012,0.45,2.0,2.5,-18.46694719260811
1016,43.40551181102362,-51.14351881562867,1.1714610550032374,1.1,0.0012,0.45,2.5,3.0,-19.280762910116856
970,41.75257731958763,-50.350181923605334,1.2531853963775028,1.12,0.0015,0.45,2.0,2.5,-19.77389326381152
975,41.743589743589745,-51.541667349174936,1.246002695770167,1.1,0.0015,0.45,2.0,2.5,-20.919872477380064
1021,41.6258570029383,-52.82151330798847,1.255108617212936,1.12,0.0012,0.45,2.0,3.0,-21.798584806519322
949,42.887249736564804,-52.98027102381949,1.1848725991966536,1.12,0.0015,0.45,2.5,3.0,-22.04664615553709
1026,41.617933723196884,-53.801610826507115,1.24846953876748,1.1,0.0012,0.45,2.0,3.0,-22.732643964908675
954,42.872117400419285,-53.957070470393795,1.1786913539654063,1.1,0.0015,0.45,2.5,3.0,-22.981011770184153
671,40.98360655737705,-51.481001495666256,1.2537616929941848,1.08,0.0015,0.5,2.0,2.5,-24.27919821697773
671,40.98360655737705,-51.481001495666256,1.2537616929941848,1.12,0.0015,0.5,2.0,2.5,-24.27919821697773
671,40.98360655737705,-51.481001495666256,1.2537616929941848,1.1,0.0015,0.5,2.0,2.5,-24.27919821697773
958,41.127348643006265,-55.90070781029537,1.2591591121565846,1.12,0.0015,0.45,2.0,3.0,-25.757033488792246
696,42.672413793103445,-54.89239440482707,1.1593533496025064,1.12,0.0012,0.5,2.5,3.0,-26.59618750827535
696,42.672413793103445,-54.89239440482707,1.1593533496025064,1.1,0.0012,0.5,2.5,3.0,-26.59618750827535
696,42.672413793103445,-54.89239440482707,1.1593533496025064,1.08,0.0012,0.5,2.5,3.0,-26.59618750827535
963,41.1214953271028,-56.816837382778715,1.2518015312461666,1.1,0.0015,0.45,2.0,3.0,-26.626089719227316
702,41.168091168091166,-56.153639709754664,1.2193487407128811,1.08,0.0012,0.5,2.0,3.0,-28.54959412570908
702,41.168091168091166,-56.153639709754664,1.2193487407128811,1.1,0.0012,0.5,2.0,3.0,-28.54959412570908
702,41.168091168091166,-56.153639709754664,1.2193487407128811,1.12,0.0012,0.5,2.0,3.0,-28.54959412570908
661,41.75491679273828,-59.357963974024095,1.1726178902015634,1.12,0.0015,0.5,2.5,3.0,-31.870505577654953
661,41.75491679273828,-59.357963974024095,1.1726178902015634,1.08,0.0015,0.5,2.5,3.0,-31.870505577654953
661,41.75491679273828,-59.357963974024095,1.1726178902015634,1.1,0.0015,0.5,2.5,3.0,-31.870505577654953
667,40.17991004497751,-61.28991778373486,1.2297783184088358,1.08,0.0015,0.5,2.0,3.0,-34.5299627612461
667,40.17991004497751,-61.28991778373486,1.2297783184088358,1.1,0.0015,0.5,2.0,3.0,-34.5299627612461
667,40.17991004497751,-61.28991778373486,1.2297783184088358,1.12,0.0015,0.5,2.0,3.0,-34.5299627612461
